id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94099801,ドバイ観光 高さにこだわる女神様,ドバイ観光 高さにこだわる女神様,眺望絶佳、神韻縹渺,牙,騎輝,騎ピ,ドバイ観光ポイント,キャメル,デーツ,,,,,,,,,
94099802,ドバイ観光 不毀のバリケード,ドバイ観光 不毀のバリケード,黄昏の風に吹かれて,火薬,槍魔,槍輝,槍ピ,ドバイ観光ポイント,ポット,キャメル,,,,,,,,
94099803,ドバイ観光 ハヌマーンも認めた味,ドバイ観光 ハヌマーンも認めた味,眺望絶佳、神韻縹渺,灰,剣魔,剣輝,剣ピ,ドバイ観光ポイント,ポット,デーツ,,,,,,,,
94099804,ドバイ観光 ３カウントが聞こえる,ドバイ観光 ３カウントが聞こえる,黄昏の風に吹かれて,実,結氷,狂魔,狂輝,騎ピ,術ピ,殺ピ,狂ピ,ドバイ観光ポイント,キャメル,デーツ,,,,
94099805,ドバイ観光 百面相の洋品店,ドバイ観光 百面相の洋品店,眺望絶佳、神韻縹渺,産毛,ランタン,殺魔,殺輝,殺モ,ドバイ観光ポイント,ポット,キャメル,,,,,,,
94099806,ドバイ観光 買うべきか買わざるべきか,ドバイ観光 買うべきか買わざるべきか,黄昏の風に吹かれて,蛇玉,術魔,術輝,術モ,ドバイ観光ポイント,ポット,デーツ,,,,,,,,
94099807,ドバイ観光 フードデリバリー戦争,ドバイ観光 フードデリバリー戦争,眺望絶佳、神韻縹渺,脂,貝殻,狂魔,狂輝,狂モ,ドバイ観光ポイント,キャメル,デーツ,,,,,,,
94099808,ドバイ観光 砂漠の愛の逃避行？,ドバイ観光 砂漠の愛の逃避行？,黄昏の風に吹かれて,神酒,糸玉,弓秘,弓魔,弓モ,ドバイ観光ポイント,ポット,キャメル,,,,,,,
94099809,ドバイ観光 ご利用は計画的に,ドバイ観光 ご利用は計画的に,眺望絶佳、神韻縹渺,逆鱗,勲章,殺秘,殺魔,殺モ,ドバイ観光ポイント,ポット,デーツ,,,,,,,
94099810,ドバイ観光 落下した先で、わしは,ドバイ観光 落下した先で、わしは,黄昏の風に吹かれて,毒針,骨,騎秘,騎輝,騎モ,術モ,殺モ,狂モ,ドバイ観光ポイント,,,,,,
94099811,ドバイ観光 王の晩餐 ～準備中～,ドバイ観光 王の晩餐 ～準備中～,眺望絶佳、神韻縹渺,黄昏の風に吹かれて,カケラ,エーテル,槍秘,槍魔,槍輝,騎モ,術モ,殺モ,狂モ,ドバイ観光ポイント,ポット,キャメル,デーツ,
94099812,ドバイ観光 ドラゴンスレイヤーヒーローショー,ドバイ観光 ドラゴンスレイヤーヒーローショー,眺望絶佳、神韻縹渺,黄昏の風に吹かれて,卵,指輪,狂秘,狂魔,狂モ,ドバイ観光ポイント,ポット,キャメル,デーツ,,,,,
