id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94147301,【夢のリゾート巡り】マハトマ☆体験,【夢のリゾート巡り】マハトマ☆体験,眠れる森の戦士,髄液,術輝,術ピ,夢箱銀,夢箱銅,虫取り網,麦わら帽,,,,,,,,
94147302,【夢のリゾート巡り】絶対安心ジャングルガイド,【夢のリゾート巡り】絶対安心ジャングルガイド,百の輝き,種,槍魔,槍ピ,夢箱金,夢箱銀,浮き輪,虫取り網,,,,,,,,
94147303,【夢のリゾート巡り】アイランド叛逆記,【夢のリゾート巡り】アイランド叛逆記,眠れる森の戦士,牙,狂輝,狂ピ,夢箱金,夢箱銅,浮き輪,麦わら帽,,,,,,,,
94147304,【夢のリゾート巡り】北軍の得物事情,【夢のリゾート巡り】北軍の得物事情,百の輝き,指輪,蹄鉄,剣魔,剣輝,剣ピ,夢箱銀,夢箱銅,虫取り網,麦わら帽,,,,,,
94147305,【夢のリゾート巡り】南軍ロマンス劇場,【夢のリゾート巡り】南軍ロマンス劇場,眠れる森の戦士,羽根,騎魔,騎輝,騎モ,夢箱金,夢箱銀,浮き輪,虫取り網,,,,,,,
94147306,【夢のリゾート巡り】わくわく様は視た,【夢のリゾート巡り】わくわく様は視た,百の輝き,涙石,霊子,弓魔,弓モ,夢箱金,夢箱銅,浮き輪,麦わら帽,,,,,,,
94147307,【夢のリゾート巡り】オバケなんて嘘じゃ,【夢のリゾート巡り】オバケなんて嘘じゃ,眠れる森の戦士,産毛,灰,殺魔,殺輝,殺モ,夢箱銀,夢箱銅,虫取り網,麦わら帽,,,,,,
94147308,【夢のリゾート巡り】ぎゃてぇブライダル,【夢のリゾート巡り】ぎゃてぇブライダル,百の輝き,心臓,八連,術秘,術輝,術モ,夢箱金,夢箱銀,浮き輪,虫取り網,,,,,,
94147309,【夢のリゾート巡り】癒しのライフセーバー,【夢のリゾート巡り】癒しのライフセーバー,眠れる森の戦士,逆鱗,エーテル,槍秘,槍魔,槍モ,夢箱金,夢箱銅,浮き輪,麦わら帽,,,,,,
94147310,【夢のリゾート巡り】セントラル攻防戦,【夢のリゾート巡り】セントラル攻防戦,眠れる森の戦士,百の輝き,釜,貝殻,剣秘,剣魔,剣輝,剣モ,夢箱金,夢箱銀,夢箱銅,浮き輪,,,,
94147311,【夢のリゾート巡り】ひと針ひと刺しオーダーメイド,【夢のリゾート巡り】ひと針ひと刺しオーダーメイド,眠れる森の戦士,百の輝き,卵,キューブ,狂秘,狂魔,狂輝,狂モ,夢箱金,夢箱銀,夢箱銅,浮き輪,,,,
