id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94060601,カルデア探検隊！ 漂流してきた宝を探せ！,漂流してきた宝を探せ！,オーシャン・フライヤー,羽根,殺輝,殺ピ,宝箱銀,宝箱銅,ジョッキ,バンダナ,,,,,,,,
94060602,カルデア探検隊！ 海賊達と飲みニケーション！,海賊達と飲みニケーション！,シンク・ディーパー,火薬,剣輝,剣ピ,宝箱金,宝箱銀,サーベル,ジョッキ,,,,,,,,
94060603,カルデア探検隊！ 秘境に隠れし宝を探せ！,秘境に隠れし宝を探せ！,オーシャン・フライヤー,種,槍魔,槍輝,槍ピ,宝箱金,宝箱銅,サーベル,バンダナ,,,,,,,
94060604,カルデア探検隊！ 部族と交流を試みよ！,部族と交流を試みよ！,シンク・ディーパー,指輪,弓魔,弓ピ,宝箱銀,宝箱銅,ジョッキ,バンダナ,,,,,,,,
94060605,カルデア探検隊！ 崩れた遺跡を掘り起こせ！,崩れた遺跡を掘り起こせ！,オーシャン・フライヤー,糸玉,騎魔,騎モ,宝箱金,宝箱銀,サーベル,ジョッキ,,,,,,,,
94060606,カルデア探検隊！ 海底洞窟にお宝が！？,海底洞窟にお宝が！？,シンク・ディーパー,涙石,霊子,殺魔,殺輝,殺モ,宝箱金,宝箱銅,サーベル,バンダナ,,,,,,
94060607,カルデア探検隊！ 神秘の山には秘密がたくさん！,神秘の山には秘密がたくさん！,オーシャン・フライヤー,ランプ,勾玉,術魔,術輝,術モ,宝箱銀,宝箱銅,ジョッキ,バンダナ,,,,,,
94060608,カルデア探検隊！ 巨大墳墓に眠る謎！,巨大墳墓に眠る謎！,シンク・ディーパー,逆鱗,毒針,剣秘,剣輝,剣モ,宝箱金,宝箱銀,サーベル,ジョッキ,,,,,,
94060609,カルデア探検隊！ 座礁船に群がる巨大生物の謎！,座礁船に群がる巨大生物の謎！,オーシャン・フライヤー,カケラ,貝殻,狂秘,狂輝,狂モ,宝箱金,宝箱銅,サーベル,バンダナ,,,,,,
94060610,カルデア探検隊！最終回！ 神秘はいつも足元に！？,神秘はいつも足元に！？,オーシャン・フライヤー,シンク・ディーパー,炉心,矢尻,槍秘,槍魔,槍モ,宝箱金,宝箱銀,宝箱銅,サーベル,ジョッキ,バンダナ,,,
