id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94073801,キャスト体験！ フラワーパークの案内人！,キャスト体験！ フラワーパークの案内人！,フィスト・オブ・ヘイル,毒針,術輝,術ピ,来園者数ポイント,天然氷,ドーム,フラッペ,,,,,,,,
94073802,キャスト体験！ フラワーパークを手入れしよう！,キャスト体験！ フラワーパークを手入れしよう！,アイス・ウォーリアー,ホム,槍魔,槍輝,槍ピ,来園者数ポイント,天然氷,カチューシャ,ドーム,,,,,,,
94073803,キャスト体験！ 歩く樹木のパレード整理！,キャスト体験！ 歩く樹木のパレード整理！,フィスト・オブ・ヘイル,髄液,剣魔,剣輝,剣ピ,来園者数ポイント,天然氷,カチューシャ,フラッペ,,,,,,,
94073804,キャスト体験！ 冒険ガイドツアーの出港！,キャスト体験！ 冒険ガイドツアーの出港！,アイス・ウォーリアー,爪,八連,狂魔,狂輝,狂ピ,来園者数ポイント,天然氷,ドーム,フラッペ,,,,,,
94073805,キャスト体験！ アトラクションツアーを盛り上げよう！,キャスト体験！ アトラクションツアーを盛り上げよう！,フィスト・オブ・ヘイル,炉心,貝殻,弓魔,弓輝,弓モ,来園者数ポイント,天然氷,カチューシャ,ドーム,,,,,,
94073806,キャスト体験！ 癒しのプールテーマパーク！,キャスト体験！ 癒しのプールテーマパーク！,アイス・ウォーリアー,ランプ,勾玉,術魔,術輝,術モ,来園者数ポイント,天然氷,カチューシャ,フラッペ,,,,,,
94073807,キャスト体験！ 激闘のヒーローショー！,キャスト体験！ 激闘のヒーローショー！,アイス・ウォーリアー,産毛,蹄鉄,剣魔,剣輝,剣モ,来園者数ポイント,天然氷,ドーム,フラッペ,,,,,,
94073808,キャスト体験！ でませい！きょうふのほらーはうす！,キャスト体験！ でませい！きょうふのほらーはうす！,フィスト・オブ・ヘイル,スカラベ,ランタン,殺秘,殺輝,殺モ,来園者数ポイント,天然氷,カチューシャ,ドーム,,,,,,
94073809,キャスト体験！ サバフェスの問題解決ならお任せ！,キャスト体験！ サバフェスの問題解決ならお任せ！,アイス・ウォーリアー,鬼灯,指輪,狂秘,狂魔,狂モ,来園者数ポイント,天然氷,カチューシャ,フラッペ,,,,,,
94073810,キャスト体験！ ふれあいタイム！フィッシュショー！,キャスト体験！ ふれあいタイム！フィッシュショー！,フィスト・オブ・ヘイル,心臓,結氷,騎秘,騎魔,騎輝,騎モ,来園者数ポイント,天然氷,カチューシャ,ドーム,フラッペ,,,,
94073811,キャスト体験！ 潜入！アークティック・タワーの謎！,キャスト体験！ 潜入！アークティック・タワーの謎！,フィスト・オブ・ヘイル,アイス・ウォーリアー,卵,鎖,槍秘,槍魔,槍モ,来園者数ポイント,天然氷,カチューシャ,ドーム,フラッペ,,,,
