id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94093401,アントラクト・お芝居特訓！ 初級,アントラクト・お芝居特訓！ 初級,証,弓輝,弓ピ,ゼリー,キャンディ,,,,,,,,,,,
94093402,アントラクト・お芝居特訓！ 中級,アントラクト・お芝居特訓！ 中級,鉄杭,狂輝,狂ピ,マカロン,ゼリー,,,,,,,,,,,
94093403,アントラクト・お芝居特訓！ 上級,アントラクト・お芝居特訓！ 上級,毒針,槍輝,槍ピ,マカロン,キャンディ,,,,,,,,,,,
94093404,アントラクト・お芝居特訓！ 超級,アントラクト・お芝居特訓！ 超級,実,頁,剣魔,剣ピ,マカロン,ゼリー,キャンディ,,,,,,,,,
94093405,アントラクト・お芝居特訓！ スタジオ級,アントラクト・お芝居特訓！ スタジオ級,幼角,ランタン,騎魔,騎輝,騎モ,ゼリー,キャンディ,,,,,,,,,
94093406,アントラクト・お芝居特訓！ シアター級,アントラクト・お芝居特訓！ シアター級,心臓,冠,殺秘,殺魔,狂魔,殺モ,マカロン,ゼリー,,,,,,,,
94093407,アントラクト・お芝居特訓！ プレイハウス級,アントラクト・お芝居特訓！ プレイハウス級,スカラベ,貝殻,術秘,術輝,術モ,マカロン,キャンディ,,,,,,,,,
94093408,アントラクト・お芝居特訓！ ホール級,アントラクト・お芝居特訓！ ホール級,産毛,火薬,狂魔,狂輝,狂モ,マカロン,ゼリー,キャンディ,,,,,,,,
94093409,アントラクト・お芝居特訓！ グランドホール級,アントラクト・お芝居特訓！ グランドホール級,鬼灯,勲章,弓秘,弓魔,狂魔,弓モ,マカロン,ゼリー,キャンディ,,,,,,,
94093410,アントラクト・お芝居特訓！ オペラ座級,アントラクト・お芝居特訓！ オペラ座級,胆石,残滓,槍秘,槍魔,槍輝,槍モ,マカロン,ゼリー,キャンディ,,,,,,,
