id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94074701,まつろわぬゴロツキ退治,まつろわぬゴロツキ退治,旅をもてなす,概念礼装EXPカード：二代目は壱与！,骨,狂輝,狂ピ,黄茶葉,緑茶葉,大判,茶筅,,,,,,,
94074702,あやしい麦茶屋調査,あやしい麦茶屋調査,旅をもてなす,概念礼装EXPカード：二代目は壱与！,牙,術輝,術ピ,赤茶葉,黄茶葉,茶碗,大判,,,,,,,
94074703,襲来！ 茶花盗賊団,襲来！ 茶花盗賊団,旅をもてなす,概念礼装EXPカード：二代目は壱与！,証,殺輝,殺ピ,赤茶葉,緑茶葉,茶碗,茶筅,,,,,,,
94074704,冥界茶会はいづこ,冥界茶会はいづこ,旅をもてなす,概念礼装EXPカード：茶の湯ティーチャー,概念礼装EXPカード：二代目は壱与！,糸玉,矢尻,槍魔,槍輝,槍モ,赤茶葉,黄茶葉,緑茶葉,大判,茶筅,,,
94074705,迷子の案内人,迷子の案内人,旅をもてなす,概念礼装EXPカード：茶の湯ティーチャー,概念礼装EXPカード：二代目は壱与！,涙石,蛇玉,弓魔,弓輝,弓モ,赤茶葉,黄茶葉,緑茶葉,茶碗,大判,,,
94074706,暗黒関ヶ原の戦い 東軍,暗黒関ヶ原の戦い 東軍,旅をもてなす,概念礼装EXPカード：茶の湯ティーチャー,概念礼装EXPカード：二代目は壱与！,霊子,オーロラ,狂魔,狂輝,狂モ,赤茶葉,黄茶葉,緑茶葉,茶碗,茶筅,,,
94074707,暗黒関ヶ原の戦い 西軍,暗黒関ヶ原の戦い 西軍,旅をもてなす,概念礼装EXPカード：茶の湯ティーチャー,根,鈴,剣魔,剣輝,剣モ,赤茶葉,黄茶葉,緑茶葉,大判,茶筅,,,,
94074708,暗黒佐和山城・ピラミッドの乱,暗黒佐和山城・ピラミッドの乱,旅をもてなす,概念礼装EXPカード：茶の湯ティーチャー,胆石,種,騎秘,騎輝,騎モ,赤茶葉,黄茶葉,緑茶葉,茶碗,大判,,,,
94074709,冥界茶会は茶に沈む,冥界茶会は茶に沈む,旅をもてなす,概念礼装EXPカード：茶の湯ティーチャー,神酒,鉄杭,術秘,術魔,術輝,術モ,赤茶葉,黄茶葉,緑茶葉,茶碗,茶筅,,,
94074710,不列顛役者の大立ち回り,不列顛役者の大立ち回り,旅をもてなす,概念礼装EXPカード：茶の湯ティーチャー,逆鱗,火薬,槍秘,槍魔,槍輝,槍モ,赤茶葉,黄茶葉,緑茶葉,茶碗,大判,茶筅,,
94074711,潜入！ 茶花盗賊団スタジオ,潜入！ 茶花盗賊団スタジオ,旅をもてなす,概念礼装EXPカード：茶の湯ティーチャー,鏡,灰,殺秘,殺輝,騎モ,術モ,殺モ,狂モ,赤茶葉,黄茶葉,緑茶葉,茶碗,大判,茶筅
